SampleID,AncientCalculus,EBC,Skin,Soil,Unknown
16879_Medieval_MertonPriory_MPY86,0.9887,0,0.00335,0,0.00795
16818_Medieval_SpitalSquare_NRF88,0.9957,0,0.0032,0,0.0011
Jewbury8822,0.8238,0,0.1732,0,0.003
16944_Medieval_StMaryGraces_MIN86,0.9974,5.00E-05,0.00095,0,0.0016
16893_PostMedieval_CrossBones_REW92,0.9907,0,0.00085,0,0.00845
16890_Medieval_MertonPriory_MPY86,0.9761,0,0.01985,0,0.00405
16858_Medieval_MertonPriory_MPY86,0.98705,5.00E-05,0.0013,0,0.0116
16906_PostMedieval_StBenetSherehog_ONE94,0.95435,0,0.0433,0,0.00235
16832_Medieval_SpitalSquare_SSQ88,0.97295,0.00025,0.0259,0,0.0009
16905_PostMedieval_StBenetSherehog_ONE94,0.9516,0.00345,0.021,0.0022,0.02175
16941_Medieval_StMaryGraces_MIN86,0.9986,5.00E-05,0.0006,0,0.00075
16887_Medieval_MertonPriory_MPY86,0.96915,0,0.02895,0,0.0019
Jewbury8835,0.9573,0,0.0401,0,0.0026
16968_Medieval_BermondseyAbbey_BA84,0.99585,0.00125,0.00165,0,0.00125
16937_Medieval_StMaryGraces_MIN86,0.9874,0,0.0056,0,0.007
16839_Medieval_MertonPriory_MPY86,0.89375,5.00E-05,0.10425,0,0.00195
16842_Medieval_MertonPriory_MPY86,0.9458,0.00025,0.04595,0,0.008
16953_Medieval_GuildhallYard_GYE92,0.8818,5.00E-05,0.1,0,0.01815
16828_Medieval_SpitalSquare_SSQ88,0.9856,0,0.00695,0,0.00745
16823_Medieval_SpitalSquare_NRF88,0.99375,0,0.00075,0,0.0055
Jewbury8830,0.93775,0.0004,0.0534,0,0.00845
16903_PostMedieval_StBenetSherehog_ONE94,0.9955,0,0.00145,0,0.00305
16871_Medieval_MertonPriory_MPY86,0.96295,0.0001,0.03415,0,0.0028
16863_Medieval_MertonPriory_MPY86,0.99875,0,0.0008,0,0.00045
16914_Medieval_StBenetSherehog_ONE94,0.9777,5.00E-05,0.0086,0,0.01365
16850_Medieval_MertonPriory_MPY86,0.6553,0.0082,0.0099,0.08995,0.23665
16834_Medieval_MertonPriory_MPY86,0.9203,0.002,0.07115,0.0024,0.00415
16967_Medieval_BermondseyAbbey_BA84,0.82825,0.0004,0.17075,0,0.0006
16874_Medieval_MertonPriory_MPY86,0.98645,0,0.00585,0,0.0077
16815_Medieval_SpitalSquare_NRF88,0.98685,0.001,0.00945,0.0001,0.0026
16847_Medieval_MertonPriory_MPY86,0.93735,0,0.05715,0,0.0055
16949_Medieval_StMaryGraces_MIN86,0.9936,0.0013,0.00195,0.0001,0.00305
16901_PostMedieval_CrossBones_REW92,0.9046,5.00E-05,0.0872,0,0.00815
16855_Medieval_MertonPriory_MPY86,0.96325,0.00015,0.0276,5.00E-05,0.00895
16957_Medieval_GuildhallYard_GYE92,0.9644,0.00065,0.02695,5.00E-05,0.00795
16892_PostMedieval_CrossBones_REW92,0.99375,5.00E-05,0.0023,0,0.0039
16889_Medieval_MertonPriory_MPY86,0.9841,5.00E-05,0.00955,0,0.0063
16820_Medieval_SpitalSquare_NRF88,0.96835,0.00125,0.0142,0.00225,0.01395
16841_Medieval_MertonPriory_MPY86,0.99045,0.001,0.007,0.0003,0.00125
16813_Medieval_SpitalSquare_NRF88,0.85185,5.00E-05,0.14625,0,0.00185
16872_Medieval_MertonPriory_MPY86,0.9853,5.00E-05,0.01355,0,0.0011
16860_Medieval_MertonPriory_MPY86,0.8266,0,0.1705,0,0.0029
16837_Medieval_MertonPriory_MPY86,0.97665,5.00E-05,0.0011,0,0.0222
16853_Medieval_MertonPriory_MPY86,0.97995,5.00E-05,0.0122,0,0.0078
16939_Medieval_StMaryGraces_MIN86,0.9978,5.00E-05,0.00095,0,0.0012
16816_Medieval_SpitalSquare_NRF88,0.99845,5.00E-05,0.0009,0,0.0006
16969_Medieval_BermondseyAbbey_BA84,0.9914,0,0.0049,0,0.0037
16918_Medieval_StBenetSherehog_ONE94,0.86575,0,0.13155,0,0.0027
16877_Medieval_MertonPriory_MPY86,0.9947,0,0.00385,0,0.00145
16913_Medieval_StBenetSherehog_ONE94,0.9505,0,0.04715,0,0.00235
16825_Medieval_SpitalSquare_NRF88,0.98385,0,0.0124,0,0.00375
16844_Medieval_MertonPriory_MPY86,0.8923,0,0.0924,0,0.0153
16856_Medieval_MertonPriory_MPY86,0.96475,0,0.02245,0,0.0128
16865_Medieval_MertonPriory_MPY86,0.7515,0.00245,0.0179,0.0007,0.22745
16881_Medieval_MertonPriory_MPY86,0.97385,0,0.01905,0,0.0071
16849_Medieval_MertonPriory_MPY86,0.9729,0.0001,0.02455,0,0.00245
16915_Medieval_StBenetSherehog_ONE94,0.98025,0,0.0153,0,0.00445
16931_Medieval_StMaryGraces_MIN86,0.9954,0.00105,0.002,0.00035,0.0012
16884_Medieval_MertonPriory_MPY86,0.99935,0,0.0004,0,0.00025
16942_Medieval_StMaryGraces_MIN86,0.87385,0.00035,0.12375,0,0.00205
16826_Medieval_SpitalSquare_SSQ88,0.9878,5.00E-05,0.00805,0,0.0041
16900_PostMedieval_CrossBones_REW92,0.9952,0.00155,0.00165,5.00E-05,0.00155
16966_Medieval_BermondseyAbbey_BA84,0.8946,0.00045,0.1022,5.00E-05,0.0027
18501_Pictish3,0.9922,0.0022,0.00055,0.0002,0.00485
16950_Medieval_StMaryGraces_MIN86,0.9972,0,0.0015,0,0.0013
16864_Medieval_MertonPriory_MPY86,0.96785,0.0002,0.03,5.00E-05,0.0019
16922_PostMedieval_ChelseaOldChurch_OCU00,0.91255,0.0004,0.00195,0.00155,0.08355
16919_PostMedieval_ChelseaOldChurch_OCU00,0.9981,0.0001,0.0007,0,0.0011
16971_Medieval_BermondseyAbbey_BA84,0.9968,0,0.00215,0,0.00105
16857_Medieval_MertonPriory_MPY86,0.8897,0,0.10205,0,0.00825
16845_Medieval_MertonPriory_MPY86,0.96035,0.0002,0.0321,0,0.00735
16896_PostMedieval_CrossBones_REW92,0.97715,0.00085,0.0025,0.0051,0.0144
16817_Medieval_SpitalSquare_NRF88,0.99745,5.00E-05,0.0006,0,0.0019
16956_Medieval_GuildhallYard_GYE92,0.98595,5.00E-05,0.0126,0,0.0014
16876_Medieval_MertonPriory_MPY86,0.99765,5.00E-05,0.00115,0,0.00115
16836_Medieval_MertonPriory_MPY86,0.967,0.0007,0.0297,5.00E-05,0.00255
16952_Medieval_GuildhallYard_GYE92,0.9901,0,0.00235,0,0.00755
16852_Medieval_MertonPriory_MPY86,0.9796,0,0.0005,0,0.0199
16938_Medieval_StMaryGraces_MIN86,0.996,0.0002,0.00165,0.00115,0.001
16861_Medieval_MertonPriory_MPY86,0.99895,0,0.00075,0,0.0003
18502_Pictish4,0.90025,0,0.0868,0,0.01295
16812_Medieval_SpitalSquare_NRF88,0.8102,0.0002,0.17865,5.00E-05,0.0109
16873_Medieval_MertonPriory_MPY86,0.88465,0.00015,0.1123,0,0.0029
16821_Medieval_SpitalSquare_NRF88,0.9138,0,0.0848,0,0.0014
16923_PostMedieval_ChelseaOldChurch_OCU00,0.9971,0,0.00095,0,0.00195
16840_Medieval_MertonPriory_MPY86,0.92985,0.00095,0.06545,5.00E-05,0.0037
16888_Medieval_MertonPriory_MPY86,0.98135,0.00175,0.0101,0.0002,0.0066
16921_PostMedieval_ChelseaOldChurch_OCU00,0.99805,0,0.0012,0,0.00075
16899_PostMedieval_CrossBones_REW92,0.97095,0.00155,0.01005,0.0001,0.01735
16916_Medieval_StBenetSherehog_ONE94,0.9383,0,0.05995,0,0.00175
16885_Medieval_MertonPriory_MPY86,0.98595,0,0.0088,0,0.00525
16869_Medieval_MertonPriory_MPY86,0.90235,0,0.05935,0,0.0383
16830_Medieval_SpitalSquare_SSQ88,0.8677,0,0.1294,0,0.0029
16894_PostMedieval_CrossBones_REW92,0.99815,0,0.00045,0,0.0014
16930_Medieval_StMaryGraces_MIN86,0.997,5.00E-05,0.00075,0,0.0022
16935_Medieval_MertonPriory_MPY86,0.9989,0,0.0009,0,0.0002
16848_Medieval_MertonPriory_MPY86,0.9925,0.0002,0.0057,0.0001,0.0015
16880_Medieval_MertonPriory_MPY86,0.99305,0.0015,0.00415,0.0001,0.0012
16962_Medieval_BermondseyAbbey_BA84,0.9757,0.0017,0.0186,0.0026,0.0014
18503_Pictish5,0.9748,5.00E-05,0.00595,0,0.0192
16920_PostMedieval_ChelseaOldChurch_OCU00,0.8932,0.00435,0.09715,0.0013,0.004
16838_Medieval_MertonPriory_MPY86,0.9666,0.0004,0.02865,0,0.00435
16970_Medieval_BermondseyAbbey_BA84,0.99385,0.0002,0.0011,0.0023,0.00255
16886_Medieval_MertonPriory_MPY86,0.9003,0.0001,0.09725,0,0.00235
16897_PostMedieval_CrossBones_REW92,0.8849,0.00045,0.1127,0.0001,0.00185
16959_Medieval_GuildhallYard_GYE92,0.88885,0.0007,0.10385,0,0.0066
16940_Medieval_StMaryGraces_MIN86,0.98885,0.0016,0.0008,5.00E-05,0.0087
16936_Medieval_MertonPriory_MPY86,0.9801,5.00E-05,0.0176,0,0.00225
16933_Medieval_StMaryGraces_MIN86,0.98085,0.0003,0.00075,0.00155,0.01655
16833_Medieval_SpitalSquare_SSQ88,0.98635,5.00E-05,0.00055,0,0.01305
16891_Medieval_MertonPriory_MPY86,0.9539,0.00385,0.00215,0.0002,0.0399
16911_PostMedieval_StBenetSherehog_ONE94,0.9861,0,0.0084,0,0.0055
16883_Medieval_MertonPriory_MPY86,0.8767,5.00E-05,0.1091,0,0.01415
16925_PostMedieval_ChelseaOldChurch_OCU00,0.9983,0,0.0005,0,0.0012
16878_Medieval_MertonPriory_MPY86,0.99385,0.0001,0.0048,0,0.00125
Jewbury8815,0.9714,0,0.02395,0,0.00465
16819_Medieval_SpitalSquare_NRF88,0.58435,0.10105,0.1083,0.07635,0.12995
16867_Medieval_MertonPriory_MPY86,0.99445,5.00E-05,0.0044,0,0.0011
Jewbury8839,0.85305,0.00015,0.14195,0,0.00485
16854_Medieval_MertonPriory_MPY86,0.99695,0,0.0013,0,0.00175
16927_PostMedieval_ChelseaOldChurch_OCU00,0.98565,0,0.00495,0,0.0094
16846_Medieval_MertonPriory_MPY86,0.98265,0,0.0114,0,0.00595
16955_Medieval_GuildhallYard_GYE92,0.98065,0.00075,0.0021,5.00E-05,0.01645
16948_Medieval_StMaryGraces_MIN86,0.99605,0.0007,0.002,0,0.00125
16898_PostMedieval_CrossBones_REW92,0.99265,0,0.0004,0,0.00695
Jewbury8838,0.9986,0.0001,0.0008,0,0.0005
16917_Medieval_StBenetSherehog_ONE94,0.9976,5.00E-05,0.00075,0,0.0016
16814_Medieval_SpitalSquare_NRF88,0.9725,0.00035,0.0164,5.00E-05,0.0107
16851_Medieval_MertonPriory_MPY86,0.9957,5.00E-05,0.003,0,0.00125
16835_Medieval_MertonPriory_MPY86,0.8551,0.00035,0.1413,5.00E-05,0.0032
16862_Medieval_MertonPriory_MPY86,0.97275,0.00055,0.0251,0.00015,0.00145
16926_PostMedieval_ChelseaOldChurch_OCU00,0.97215,0.0004,0.0153,0.00015,0.012
16811_Medieval_SpitalSquare_NRF88,0.9709,0.0037,0.01825,0.00515,0.002
16963_Medieval_BermondseyAbbey_BA84,0.9528,0.0017,0.0421,0.002,0.0014
16907_PostMedieval_StBenetSherehog_ONE94,0.9936,5.00E-05,0.0006,0,0.00575
16961_PostMedieval_StBrides_SB79,0.9412,0.00045,0.05265,5.00E-05,0.00565
16843_Medieval_MertonPriory_MPY86,0.9893,0,0.0007,0,0.01
16829_Medieval_SpitalSquare_SSQ88,0.98795,0.0001,0.01125,0,0.0007
